condition,T8_mean,T8_median,T8_max,T8_min,T8_ptp,T8_std,T8_skew,T8_auc,T8_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis
Unf,-6.3611431204872835,-8.426675776718184,7.440392892021919,-14.229620319383685,21.670013211405603,5.991876379937302,0.7996366345231236,-0.6537132340252653,2.80010843017521,-11.575976661613542,-12.258322385605425,-0.4669643658417044,-19.76909152290318,19.302127157061477,5.840463084416156,0.4742175815451615,-1.1664334949610309,2.039663494965298,-23.02746242304028,-23.51505190745229,-16.917329048737884,-28.353728339425288,11.436399290687405,3.6962400331967555,0.18891156868398357,-2.3120882436765293,1.4344774381747962,39.554919217502736,40.466926293447614,47.696394176455215,22.206135326996446,25.49025884945877,5.679589134072489,-1.3007238882080334,3.979534730354632,5.394936167600446,2.4851839579735744,3.9345680988844833,19.148632418364286,-13.213371858000755,32.36200427636504,7.707545453301174,-0.31659995235576477,0.23679461157006337,3.4188984050296356
Fam,14.058533452043775,13.813771147397347,22.9118322749855,5.872904694115277,17.038927580870222,5.576694993739213,0.20359747789947344,1.4184240526845542,1.6155950916777495,-3.9367353405868224,-3.0960155754655716,5.2323975978652015,-16.2169526447542,21.449350242619403,5.221571440159168,-0.7581835218403219,-0.3896004871528503,3.566242560582729,-14.794885303742307,-13.690436844626674,-8.16113424662035,-24.430604753433727,16.269470506813377,4.0077109228711105,-0.869515736267915,-1.489674063289628,3.3808641515459548,1.4964254634063623,0.05905718580834218,17.23813147691544,-16.17517409613356,33.413305573049,9.375828419854136,-0.04549106826753741,0.10693000817864012,2.3940258023404124,7.182300223554159,6.714590881529148,16.153702745214105,-0.30024528996364097,16.453948035177746,4.82718737958333,0.17088392364903132,0.7305333801332471,2.0919711659272173
Fam,6.612290643094918,5.626374786515953,14.695863683300558,0.1412947767676087,14.55456890653295,4.587115919388478,0.19008418743750677,0.6569590008288889,1.6251709650777342,18.762918723671017,19.155537302140146,24.17535324639175,13.375753951549996,10.799599294841755,3.155976465140131,-0.021414862074199716,1.867293011388079,1.9630719808479793,-11.844794830727048,-13.053298516751966,2.987687821587315,-29.602862923638895,32.59055074522621,10.768363529982985,-0.1591524498211948,-1.1763191697900097,1.4615938560183286,-42.167892808300586,-46.91804679168854,-14.55800884286873,-62.472048739437014,47.91403989656828,14.518307096972125,0.535376384152802,-4.226212666369511,1.9136371098032952,11.412959216053983,9.821931598708034,22.844915292807855,3.9880624171928503,18.856852875615004,5.204616370265004,0.9039422610355751,1.1321009726697706,2.8721664157607383
Unf,10.444432665333526,8.319108928844798,24.545000997022726,-1.0291919352312107,25.574192932253936,7.897148981652025,0.4096139754068628,1.0415473716112824,1.8706589888006053,21.833669891818246,20.119859073020052,38.01151251536794,8.178329153452069,29.83318336191587,8.470149736094442,0.2875040028635958,2.156153623290885,2.2407078758937824,-21.53891728085,-20.312289052526467,-9.359119758300949,-32.70221350248903,23.34309374418808,8.810062631604923,-0.01935141728103458,-2.1566237142884437,1.041671213023897,-24.25614219156649,-23.781788513588253,-16.830859749461524,-35.703294997802004,18.87243524834048,5.2620255872895525,-0.7391424378379337,-2.383862217440431,2.942648913763729,20.860976572014177,20.76475266221678,25.117282348219305,16.76115789450705,8.356124453712255,2.09169708173163,0.24781618318557053,2.0782244792641733,2.524652210290376
Unf,-28.308488813658748,-29.613219339807983,-1.6314206732204184,-43.267653381917626,41.63623270869721,10.559073785120015,0.7209756743247754,-2.842913036364774,3.3483901378363563,-25.30471633340662,-23.285174393095076,-15.439523849636316,-34.88906804705039,19.44954419741407,6.473506740891616,-0.2311629378701085,-2.5379911212476,1.6197419276275324,-20.650023998314282,-20.934190615662374,-6.862374902993906,-36.473848012974486,29.61147310998058,8.45472174178708,-0.1903606863200873,-2.060106777729475,2.1577430372221067,103.70053104662264,105.05407772143371,120.67504576407373,79.89707955857739,40.77796620549634,11.624054888459481,-0.3694205628978318,10.377095208806635,2.3199156478400633,-26.300811791420877,-21.264090719341766,-16.70160963840317,-42.61053982190788,25.908930183504708,8.948165506321006,-0.6072462960233963,-2.6266328084066446,1.728833521455056
Fam,-15.32122611864067,-12.89299643758568,-7.698162335145753,-28.804999601561576,21.106837266415823,6.183808014706104,-0.7849443304972112,-1.5454013546006022,2.426607127404091,9.048228518027967,9.65207345871022,16.23078242118936,-2.164668103432632,18.395450524621992,4.131716698949053,-1.0752780237728083,0.9196322576442698,5.006040541767938,-30.756379251565356,-30.82761486439267,-16.840613170643337,-41.1420660384465,24.301452867803164,5.154094685952412,0.14782515009767694,-3.0991554940483472,4.0037061986855385,50.49215346494188,51.845536290784366,59.8255246586632,42.152540117967874,17.672984540695325,5.954348649119061,-0.016658861953949233,5.037986967177873,1.4477132250818365,-8.85667461585189,-10.321119134459877,2.6790316951519344,-20.65233093162533,23.331362626777263,6.164388306633492,0.32918554892136503,-0.8748554760593805,2.522012554109107
Unf,3.266015942069946,2.0991111568946508,15.140680261538364,-14.73207612434635,29.872756385884713,8.62909362750905,-0.45471429474366637,0.33042005496106835,2.380764724032528,-16.273223275712432,-16.217632037296426,0.7926705052341276,-37.452176911756396,38.244847416990524,10.691497858201547,-0.14205282335817282,-1.6111282761385726,2.2531640373686326,-1.230034845670721,-1.634506531900115,7.655142326257192,-7.323335012188181,14.978477338445373,4.312619681702402,0.6712549587966418,-0.10180879343464318,2.5518649154139705,39.66339904064416,32.90314543846762,88.78488733898848,-2.5410763555555604,91.32596369454404,29.564125612532166,0.31034416174819607,3.9419687184191172,1.7363494565389594,-8.842336791317415,-7.889942708061426,0.8735583492125443,-19.801524103968404,20.67508245318095,7.027849109924931,-0.18375039056374964,-0.8757397298840358,1.532320214837899
Fam,-5.678758275105513,-5.5139896630862495,-1.3255661315270117,-10.40930328599643,9.083737154469418,2.5152246407991,0.01592377417588246,-0.5600322978410754,1.8707887329049966,7.473161757933265,8.14770919532748,17.52163552737329,-5.9730518842116,23.49468741158489,5.902336157980633,-0.6742137393310296,0.7265797995875214,3.3561709235653736,-6.022178689809502,-6.438626542148995,2.9098932827764656,-14.099112377152778,17.009005659929244,4.584877648494813,0.178600116180457,-0.6307557705748555,2.43362382610244,6.42891385911508,7.125104502847535,13.06398098677164,-3.505699169181753,16.569680155953392,5.173077740625949,-0.4929354115132877,0.6357922461620364,2.0280721702650855,-2.391552311400766,-2.9270591994645656,4.893382993031992,-8.401066224905662,13.294449217937654,4.192947998359761,0.26682705146677005,-0.21708214481950888,1.738141203197098
Unf,6.965492150657637,4.797006340595544,17.255009879590943,-1.9235496893088566,19.1785595688998,6.691037701991157,0.39121807340807774,0.6958882525696415,1.5377430754729218,-19.885447797535633,-21.88565122196451,-9.900984878186136,-25.357690901728347,15.45670602354221,4.775080672729526,1.170000403559874,-1.999122757416875,3.107658439290314,-10.383562583298884,-10.751037734735291,-1.369276333207381,-16.814050468383357,15.444774135175976,4.732851019605657,0.47654722603542093,-1.047842457533496,2.0750782038294484,44.16683182521061,52.65959589451086,63.75530210789293,9.768787094799336,53.986515013093594,17.702013982725788,-0.7852794413401124,4.436794694423684,2.2084578205123653,-9.070684733650033,-8.28542670205934,1.3185633633838734,-24.240145648946054,25.558709012329928,7.282682424798586,-0.48665446405922796,-0.8724706028344039,2.3986763639769704
Unf,-8.46339375552947,-11.94316928376793,14.321773960546125,-17.205280528287403,31.527054488833528,9.011595084291852,1.3281210593692951,-0.8882690755264858,3.8305646389822385,-7.645480954247082,-13.012222098041093,9.692508683656342,-28.064814614481293,37.757323298137635,12.737738078220742,0.1435312376354427,-0.7365686669745846,1.2815503536687125,-7.71665424263819,-7.907587132649496,-2.109082060997025,-13.59650650556432,11.487424444567296,2.6648290320719,0.17507787921389997,-0.7661286246505359,3.4763197527570635,30.822969983126733,34.3002120644087,75.32654126407579,-12.480738405429292,87.80727966950508,26.83232438009413,-0.15143573717610026,3.067626765466023,1.6566391865502672,-20.982588659115628,-26.996011001756415,6.499214578070678,-35.755245335167274,42.25445991323795,13.41078929660248,0.7392961984119344,-2.1319211207382867,2.3372151599312705
